Acquired,Term,$ Total Gain/Loss,% Total Gain/Loss,Current Value,Quantity,Average Cost Basis,Cost Basis Total
Jan-16-2025,Short,+13.46,+3.62%,385.85,1.806,206.20,372.39
Dec-20-2024,Short,+67.56,--,67.73,0.317,0.00,0.00
Dec-17-2024,Short,+5.13,+1.38%,377.52,1.767,210.75,372.39
Nov-18-2024,Short,+15.81,+4.25%,388.20,1.817,204.95,372.39
Oct-16-2024,Short,+19.66,+5.28%,392.05,1.835,202.94,372.39
Oct-04-2024,Short,+57.97,--,58.11,0.272,0.00,0.00
Sep-17-2024,Short,+33.12,+8.89%,405.51,1.898,196.20,372.39
Aug-16-2024,Short,+39.53,+10.61%,411.92,1.928,193.15,372.39
Jul-16-2024,Short,+31.84,+8.55%,404.23,1.892,196.82,372.39
Jul-05-2024,Short,+54.14,--,54.27,0.254,0.00,0.00
Jun-18-2024,Short,+44.01,+11.82%,416.40,1.949,191.07,372.39
May-16-2024,Short,+59.61,+16.01%,432.00,2.022,184.17,372.39
Apr-16-2024,Short,+81.19,+21.80%,453.58,2.123,175.41,372.39
Apr-05-2024,Short,+47.10,--,47.22,0.221,0.00,0.00
Mar-18-2024,Short,+71.57,+19.22%,443.96,2.078,179.21,372.39
Feb-16-2024,Long,+84.82,+22.78%,457.21,2.14,174.01,372.39
Jan-17-2024,Long,+111.31,+29.89%,483.70,2.264,164.48,372.39
Dec-18-2023,Long,+111.53,+29.95%,483.92,2.265,164.41,372.39
Dec-15-2023,Long,+57.97,--,58.11,0.272,0.00,0.00
Dec-12-2023,Long,+165.80,+32.13%,681.76,3.191,161.69,515.96
Nov-16-2023,Long,+135.03,+36.26%,507.42,2.375,156.80,372.39
Oct-17-2023,Long,+151.48,+40.68%,523.87,2.452,151.87,372.39
Oct-06-2023,Long,+43.91,--,44.01,0.206,0.00,0.00
Sep-19-2023,Long,+141.87,+38.10%,514.26,2.407,154.71,372.39
Aug-16-2023,Long,+147.21,+39.53%,519.60,2.432,153.12,372.39
Jul-18-2023,Long,+130.76,+35.11%,503.15,2.355,158.13,372.39
Jul-07-2023,Long,+40.07,--,40.17,0.188,0.00,0.00
Jun-16-2023,Long,+145.71,+39.13%,518.10,2.425,153.56,372.39
May-16-2023,Long,+184.60,+49.57%,556.99,2.607,142.84,372.39
Apr-18-2023,Long,+179.25,+48.14%,551.64,2.582,144.23,372.39
Apr-05-2023,Long,+32.18,--,32.26,0.151,0.00,0.00
Mar-16-2023,Long,+204.89,+55.02%,577.28,2.702,137.82,372.39
Feb-16-2023,Long,+187.37,+50.32%,559.76,2.62,142.13,372.39
Jan-18-2023,Long,+211.30,+56.74%,583.69,2.732,136.31,372.39
Dec-16-2022,Long,+223.48,+60.01%,595.87,2.789,133.52,372.39
Dec-16-2022,Long,+29.41,--,29.48,0.138,0.00,0.00
Nov-16-2022,Long,+205.75,+55.25%,578.14,2.706,137.62,372.39
Oct-18-2022,Long,+243.78,+65.46%,616.17,2.884,129.12,372.39
Oct-07-2022,Long,+22.81,--,22.86,0.107,0.00,0.00
Sep-16-2022,Long,+217.50,+58.41%,589.89,2.761,134.88,372.39
Aug-16-2022,Long,+159.17,+42.74%,531.56,2.488,149.67,372.39
Jul-18-2022,Long,+225.83,+60.64%,598.22,2.8,133.00,372.39
Jul-01-2022,Long,+14.07,--,14.10,0.066,0.00,0.00
Jun-16-2022,Long,+250.40,+67.24%,622.79,2.915,127.75,372.39
May-17-2022,Long,+187.16,+50.26%,559.55,2.619,142.19,372.39
Apr-19-2022,Long,+141.01,+37.87%,513.40,2.403,154.97,372.39
Apr-08-2022,Long,+4.48,--,4.49,0.021,0.00,0.00
Mar-16-2022,Long,+152.33,+40.91%,524.72,2.456,151.62,372.39
Feb-16-2022,Long,+139.30,+37.41%,511.69,2.395,155.49,372.39
Jan-19-2022,Long,+129.21,+35.80%,490.11,2.294,157.32,360.90
